Ville,latitude,longitude,nb,source
troyes,48.292802,4.075129,3000,https://mobilisations-en-france.cgt.fr/news/map
tulle,45.266936,1.766255,500,https://mobilisations-en-france.cgt.fr/news/map
ussel,45.549876,2.313531,500,https://mobilisations-en-france.cgt.fr/news/map
valence,44.923702,4.920653,20000,https://mobilisations-en-france.cgt.fr/news/map
valenciennes,50.358173,3.509748,4000,https://mobilisations-en-france.cgt.fr/news/map
vannes,47.660026,-2.746,5000,https://mobilisations-en-france.cgt.fr/news/map
vendôme,47.793727,1.065604,800,https://mobilisations-en-france.cgt.fr/news/map
verdun,49.145894,5.360313,550,https://mobilisations-en-france.cgt.fr/news/map
vichy,46.130914,3.428457,2500,https://mobilisations-en-france.cgt.fr/news/map
Saint brieuc,48.513963,-2.765377,10000,https://www.ouest-france.fr/bretagne/saint-brieuc-22000/greve-du-5-decembre-saint-brieuc-des-milliers-de-personnes-defilent-saint-brieuc-6640163
Lannion,48.73317,-3.460492,2500,https://www.ouest-france.fr/bretagne/lannion-22300/greve-du-5-decembre-lannion-2-500-manifestants-dans-les-rues-6640063
Guingamp,48.561492,-3.149207,4000,https://neocarto.github.io/manif5dec/form.html
Lamballe,48.469041,-2.519195,3500,https://neocarto.github.io/manif5dec/form.html
Ajaccio,41.918873,8.737081,4000,https://neocarto.github.io/manif5dec/form.html
Belfort,47.638802,6.865359,5000,https://neocarto.github.io/manif5dec/form.html
Montbéliard,47.51061,6.797758,3000,https://neocarto.github.io/manif5dec/form.html
Limoges,45.835661,1.254555,25000,https://neocarto.github.io/manif5dec/form.html
Lens,50.428368,2.831773,150,https://neocarto.github.io/manif5dec/form.html
Le Mans,48.005771,0.190197,18000,https://www.ouest-france.fr/pays-de-la-loire/le-mans-72000/greve-du-5-decembre-deux-nouveaux-rassemblements-annonces-ce-vendredi-et-samedi-au-mans-e79a7f18-174c-11ea-b3ba-cb5fee798ff0
Montceau-les-Mines,46.678329,4.356583,1200,https://montceau-news.com/montceau_et_sa_region/581753-journee-nationale-dactions-du-5-decembre-2019-social-2.html
Chalon-sur-Saône,46.781412,4.852333,5700,https://www.lejsl.com/techniques/2019/12/05/la-situation-dans-les-gares-de-saone-et-loire
Mâcon,46.305893,4.827219,1200,https://www.lejsl.com/techniques/2019/12/05/la-situation-dans-les-gares-de-saone-et-loire
Torcy,46.769645,4.452098,100,https://www.lejsl.com/techniques/2019/12/05/la-situation-dans-les-gares-de-saone-et-loire
Blois,47.585536,1.334077,5000,https://neocarto.github.io/manif5dec/form.html
Alès,44.127755,4.084433,3500,https://neocarto.github.io/manif5dec/form.html
Bagnols-sur-cèze,44.16246,4.618879,700,https://neocarto.github.io/manif5dec/form.html
Mulhouse,47.751065,7.335409,6000,https://neocarto.github.io/manif5dec/form.html
Bergerac,44.852882,0.484518,2950,https://neocarto.github.io/manif5dec/form.html
Saint-Denis de La Réunion,-20.890447,55.457232,5000,http://www.ipreunion.com
Saint-Pierre de La Réunion,-21.33312,55.4714,1000,http://www.ipreunion.com
Vire,48.83769,-0.888211,450,https://neocarto.github.io/manif5dec/form.html
Dijon,47.322086,5.039085,8000,https://neocarto.github.io/manif5dec/form.html
Reims,49.256891,4.030711,5000,https://france3-regions.francetvinfo.fr/grand-est/marne/reims/reims-5000-personnes-rue-contre-reforme-retraites-du-jamais-commercants-1758837.html
Eu,50.049032,1.420004,1000,https://neocarto.github.io/manif5dec/form.html
Chartres,48.444288,1.490551,4000,https://www.lechorepublicain.fr/chartres-28000/actualites/en-images-la-manifestation-a-chartres-contre-le-projet-de-reforme-des-retraites_13700095/
Cayenne,4.921742,-52.311756,1500,https://la1ere.francetvinfo.fr/guyane-polynesie-forte-mobilisation-outre-mer-contre-reforme-retraites-778873.html
St Pierre et Miquelon,47.040128,-56.325717,150,https://la1ere.francetvinfo.fr/guyane-polynesie-forte-mobilisation-outre-mer-contre-reforme-retraites-778873.html
Fort de France,14.616641,-61.058665,5000,https://la1ere.francetvinfo.fr/guyane-polynesie-forte-mobilisation-outre-mer-contre-reforme-retraites-778873.html
